Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Résumé
#happy - La Dictature du Bonheur sur les Réseaux Sociaux,#happy - La Dictature du Bonheur sur les Réseaux Sociaux,2021,Picture 4962,D,,"Dans l'univers des réseaux sociaux, la perfection est attendue partout : corps parfaits, vacances extraordinaires, amours, maisons et amis exceptionnels. Tout le monde s'y exhibe et s'y surveille, avec envie et jalousie. Cette injonction au bonheur a des répercussions sur la santé mentale. Les cas d'isolement, de dépression, de dévalorisation de soi sont nombreux. Où va mener cette quête d'un bonheur factice, entretenu par des entreprises à la recherche de données personnelles et d'argent ? "
#salepute,#salepute,2021,Picture 4963,D,,"Florence Hainaut et Myriam Leroy, journalistes, ont subi des cyberviolences comme 73% des femmes dans le monde. En partant des discours de haine en ligne, elles emmènent le spectateur dans un récit internatio-nal, à la fois intime et politique."
Un Amour de Père,$5 a Day,2008,Picture 2834,B,,"Nat est un homme qui aime profiter de la vie. Il se complaît en remportant quotidiennement des concours à la radio, en buvant du café gratuit dans les halls d'hôtel et en conduisant une voiture rose bonbon dont il a gagné l'usage pendant un an. Nat est un débrouillard et un bon. Il est capable d'obtenir presque tout ce qu'il veut pour 5$ par jour. 
La seule chose que Nat n'a pas, cependant et qu'il désire plus que tout c'est une relation plus étroite avec son fils, Flynn. Mais Flynn a ses problèmes, il vient de perdre son emploi, sa petite amie le quitte, et maintenant Nat l'appelle pour lui dire qu'il va mourir.
Sans aucun autre recours, Flynn accepte à contrecœur de conduire son père au Nouveau-Mexique pour un traitement expérimental. "
Un Amour de Père,$5 Dollars a Day,2008,Picture 4262,D,,"Nat est un homme qui aime profiter de la vie. Il se complaît en remportant quotidiennement des concours à la radio, en buvant du café gratuit dans les halls d'hôtel et en conduisant une voiture rose bonbon dont il a gagné l'usage pendant un an. Nat est un débrouillard et un bon. Il est capable d'obtenir presque tout ce qu'il veut pour 5$ par jour."
(500) Jours Ensemble,(500) Days of Summer,2009,Picture 23699,Q,Q,"Tom croit encore en un amour qui transfigure, un amour à la destinée cosmique, un coup de foudre unique. Ce qui n'est pas du tout le cas de Summer. Cela n'empêche pourtant pas Tom de partir à sa conquête, armé de toute sa force et de tout son courage, tel un Don Quichotte des temps modernes. La foudre tombe le premier jour, quand Tom rencontre Summer la nouvelle secrétaire de son patron, une belle jeune fille enjouée.
Au 31ème jour, les choses avancent, lentement. Le 32ème jour, Tom est irrémédiablement conquis, pris dans le tourbillon étourdissant d'une vie avec Summer. 185 jours après leur rencontre, la situation est de plus en plus incertaine – mais pas sans espoir. Alors que l'histoire fait des allers-retours au sein de la relation parfois heureuse, mais souvent tumultueuse de Tom et Summer, le récit couvre tout le spectre de la relation amoureuse, du premier coup de coeur aux rendez-vous, du sexe à la séparation, à la récrimination et à la rédemption et décrit toutes les raisons qui nous poussent à nous battre aussi ardemment pour arriver à trouver un sens à l'amour... Et, avec un peu de chance, à en faire une réalité. "
10,10,1979,Picture 1017,Y,Y,"George Weber, riche compositeur de chansons à succès, vient d'avoir quarante-deux ans. Hanté par l'idée du vieillissement, il se sent trahi par la vie. Cela ne l'empêche pas de courir avec quelque extravagance après Jenny Miles, une jeune beauté récemment mariée, et de délaisser Samantha Taylor, sa plus que charmante maîtresse. Tout cela est-il bien raisonnable ?... "
10 Cloverfield Lane,10 Cloverfield Lane,2016,Picture 25869,X,X,"Une nuit, Michelle est victime d'un accident de voiture, elle se réveille enchaînée dans un bunker avec deux hommes, Howard et Emmet. Ils lui affirment qu'ils lui ont sauvé la vie « d'une catastrophe à échelle mondiale ». Ayant du mal à les croire, Michelle décide de s'enfuir par tous les moyens."
L'Étrangleur de Rillington Place,10 Rillington Place,1971,Picture 2818,B,B,"Dans les années quarante à Londres, John Reginald Christie cache derrière une apparence lisse et son métier de policier une véritable démence meurtrière. En une décennie, il viole, tue et cache les corps de plusieurs femmes, sans jamais éveiller le moindre soupçon. Il réussira même à faire accuser un autre homme pour le meurtre de sa femme et de sa fille. Mais après plus de cinq meurtres, les cadavres s'entassent et ne passent plus inaperçus."
10 Choses Que je Déteste de Toi,10 Things I Hate About You,1999,Picture 25037,U,U,"Au lycée de Padua, Bianca fait craquer tous les garcons, tandis que sa soeur ainée Kat aurait tendance à les faire fuir. Non qu'elle soit d'une laideur repoussante, ce serait plutôt le contraire, mais son caractère irascible et son comportement de rebelle ne la rendent pas très liante. Le père des jeunes filles est très strict quant à leur éducation et leurs sorties. Il accepte que Bianca flirte a condition que Kat en fasse autant. Autant dire que l'affaire n'est pas gagnée... Mais Cameron, qui est tombe amoureux de Bianca, imagine un plan tout simplement diabolique. "
Le Justicier de Minuit,10 to Midnight,1983,Picture 25003,U,U,"Plusieurs femmes sont retrouvées éventrées dans les rues de New York. Leo Kessler, chargé de l'affaire, se rend à l'enterrement de la dernière victime. Dans la foule, il aperçoit un homme au comportement étrange. Kessler est alors persuadé que c'est l'homme qu'il recherche mais aucune preuve ne permet de l'accuser. Il décide alors d'en fabriquer... "
10000 av. J.-C,"10,000 BC",2008,Picture 11,K,K,"Il y a 12 000 ans, la tribu des Yagahl vit de la chasse du mammouth (qu'ils appellent « mannak ») au cœur d'une chaîne de montagnes situées dans l'actuelle Russie. D'Leh (Steven Strait) a pour amie la belle Evolet (Camilla Belle), qui a jadis été adoptée par la tribu. Un jour, pendant que les hommes sont à la chasse, des guerriers orientaux surgissent et enlèvent les Yagahl restés au camp, dont Evolet. À la tête d'un petit groupe, le jeune D'Leh se lance à la rescousse des siens. Ils voyagent pour la première fois dans le Sud, à travers des contrées inexplorées peuplées d'animaux préhistoriques : deux troupeaux de mammouths laineux (dont un qui est domestiqué), un tigre à dents de sabre ainsi que de terrifiants oiseaux carnivores géants, les Phorusrhacos. Puis, à l'aide d'une armée constituée d'hommes rencontrés au cours de son voyage, D'leh découvre que les esclaves sont menés dans le désert, où un souverain érige d'immenses pyramides pour établir un puissant empire."
10.0 Menace sur Los Angeles,10.0 Earthquake,2014,Picture 2462,A,,"Los Angeles est sur le point d'être frappé par un séisme dévastateur, le temps est compté pour sauver la ville d'un danger imminent."
Magnitude 10.5,10.5,2004,Picture 1333,Y,,"Un tremblement de terre de très forte intensité se produit à Seattle. En Californie, la terre se met aussi à trembler, rayant de la carte en quelques secondes une ville entière. Devant l'extrême gravité de la situation, le président des États-Unis fait appel aux plus grands spécialistes... "
Frozen Apocalypse,100 Degrees Below Zero,2013,Picture 1178,Y,,"Lorsqu'une série d’éruptions volcaniques s'abat sur l’Europe, le soleil disparaît derrière d’énormes nuages de cendres, menaçant ainsi de plonger le continent dans une nouvelle ère glaciaire. Deux Américains font tout pour secourir leurs enfants, avant que Paris ne gèle complètement... "
Périmètre mortel,100 Feet,2008,Picture 26056,C,C,"Libérée de prison après le meurtre (en légitime défense) de son mari, Marnie Watson est contrainte de rester chez elle, dans le cadre de sa conditionnelle. C'était sans compter le fantôme vengeur de son époux, toujours présent dans les murs... "
100 Mètres,100 Meters,2016,Picture 3792,C,C,"Ramón est un trentenaire qui travaille dans une agence de publicité. Marié à Inma, il a un fils et mène une vie confortable jusqu'au jour où il constate qu'il a des difficultés à saisir des objets avec sa main droite. Un matin, il ne peut pas se lever du lit et parle avec difficulté. Le diagnostic médical tombe, il développe une sclérose en plaques. La maladie avance par poussées et remis de sa première crise, il débute un lourd traitement. Au même moment, le père de sa femme, Manolo, un ancien champion cycliste bourru et irascible qui rejette la vie moderne doit quitter sa maison qui s'effondre et est hébergé chez le couple. Manolo n'apprécie guère son gendre, et les deux hommes vont mettre du temps à se comprendre. "
Les 100 Fusils,100 Rifles,1969,Picture 1496,Z,Z,"Dans le Mexique de 1910, un voleur et un shérif s'allient pour aider le peuple Yaqui à résister contre l'armée mexicaine et allemande. Ils projettent dans ce but de dévaliser une compagnie de chemin de fer afin de dérober cent fusils mis en réserve. "
1066 - La Bataille des Derniers Rois Guerriers,1066 - A Year to Conquer England,2017,Picture 4268,D,,"L'historien britannique Dan Snow explore les intrigues politiques et trahisons familiales entre les Vikings, les Anglo-Saxons et les Normands qui ont conduit à la bataille d'Hastings. Lorsque le roi Edouard le Confesseur meurt sans héritier, une course s'engage pour lui succéder sur le trône. Déjà sur place, le comte Harold s'empare de la couronne. Mais en Normandie, le duc Guillaume est persuadé que le trône lui a été promis et décide d'envahir l'Angleterre. Pendant ce temps, en Norvège, le roi viking Harald se voit également roi d'Angleterre et prépare ses troupes pour une invasion du pays…"
22.11.63,11.22.63,2016,Picture 1000,Y,Y,"Professeur, Jake Epping n'a pas une vie palpitante. Les papiers du divorce signés, sa femme passe à autre chose et ses étudiants ne semblent pas passionnés par ses cours. Son univers bascule le jour où son vieil ami Al Templeton lui dévoile l'existence d'un portail temporel qui permet d'être propulsé en 1960. Il lui donne pour mission de remonter le temps afin de trouver un moyen d'empêcher le meurtre de JFK et ainsi transformer le présent en un monde meilleur. Mais changer le passé va se révéler bien plus dangereux qu'il ne le pensait... "
11h14,11h14,2003,Picture 4922,D,D,"1ère partie : alors que Jack roule de nuit un peu ivre, quelque chose se fracasse contre son pare-brise : il s'agit d'une personne, morte, dont Jack va tenter de cacher le cadavre.
2e partie : Trois jeunes s'amusent (de façon fort peu innocente) dans une fourgonnette. Mais leur suite de divertissements s'achève brutalement lorsque la fourgonnette percute une jeune fille en plein milieu de la chaussée.
3e partie : Un père voit sa fille sortir de chez lui peu avant onze heures. Il sort alors promener son chien et découvre un cadavre dans le cimetière non loin de chez lui.
4e partie : Duffy entre dans la petite supérette où il travaille et salue sa collègue Buzzy. Il a désespérément besoin d'argent.
5e partie : Dans la dernière partie du film, on découvre l'étrange parcours de Cheri au cours de cette soirée, fil conducteur qui relie tous les évènements"
