Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Audio Français,Audio Anglais,Double,Dernier Épisode Visionné,Année(s) saison,Dernière saison
Attentat de Boston - Le Marathon et la Traque,American Manhunt - The Boston Marathon Bombing,2023,Picture 6001,E,E,,,,,,2023
Attentat de Boston - Le Marathon et la Traque - 01 Hackers en tous genres,"American Manhunt - The Boston Marathon Bombing - 01 White Hat, Black Hat",2023,,E,E,K:\Attentat de Boston - Le Marathon et la Traque\American.Manhunt.The.Boston.Marathon.Bombing.2023.DOC.S01E01.MULTi.1080p.WEB.x264-TFA.mkv,K:\Attentat de Boston - Le Marathon et la Traque\American.Manhunt.The.Boston.Marathon.Bombing.2023.DOC.S01E01.MULTi.1080p.WEB.x264-TFA.mkv,,,,
Attentat de Boston - Le Marathon et la Traque - 02 Le rêve américain,American Manhunt - The Boston Marathon Bombing - 02 The American Dream,2023,,E,E,K:\Attentat de Boston - Le Marathon et la Traque\American.Manhunt.The.Boston.Marathon.Bombing.2023.DOC.S01E02.MULTi.1080p.WEB.x264-TFA.mkv,K:\Attentat de Boston - Le Marathon et la Traque\American.Manhunt.The.Boston.Marathon.Bombing.2023.DOC.S01E02.MULTi.1080p.WEB.x264-TFA.mkv,,,,
Attentat de Boston - Le Marathon et la Traque - 03 Les cadavres ne parlent pas,American Manhunt - The Boston Marathon Bombing - 03 You Can't Interview A Corpse,2023,,E,E,K:\Attentat de Boston - Le Marathon et la Traque\American.Manhunt.The.Boston.Marathon.Bombing.2023.DOC.S01E03.MULTi.1080p.WEB.x264-TFA.mkv,K:\Attentat de Boston - Le Marathon et la Traque\American.Manhunt.The.Boston.Marathon.Bombing.2023.DOC.S01E03.MULTi.1080p.WEB.x264-TFA.mkv,,,,
Hezbollah - L'Enquête Interdite,Hezbollah - L'Enquête Interdite,2023,Picture 5881,E,,,,,,,2023
Hezbollah - L'Enquête Interdite - 01 Cassandre ou la prophétie du chaos,Hezbollah - L'Enquête Interdite - 01 Cassandre ou la prophétie du chaos,2023,,E,,"L:\Hezbollah - L'Enquête Interdite\Hezbollah, l'enquête interdite - Saison 1 Épisode 1 - Cassandre ou la prophétie du chaos_France 5_2023_02_05_20_55.ts",,,,,
Hezbollah - L'Enquête Interdite - 02 La longue traque,Hezbollah - L'Enquête Interdite - 02 La longue traque,2023,,E,,"L:\Hezbollah - L'Enquête Interdite\Hezbollah, l'enquête interdite - Saison 1 Épisode 2 - La longue traque_France 5_2023_02_05_21_54.ts",,,,,
Hezbollah - L'Enquête Interdite - 03 Au nom de la raison d’État,Hezbollah - L'Enquête Interdite - 03 Au nom de la raison d’État,2023,,E,,"L:\Hezbollah - L'Enquête Interdite\Hezbollah, l'enquête interdite - Saison 1 Épisode 3 - Au nom de la raison d'Etat_France 5_2023_02_05_22_50.ts",,,,,
Les Évangéliques à la Conquête du Monde,Les Évangéliques à la Conquête du Monde,2023,Picture 5960,E,,,,,,,2023
Les Évangéliques à la Conquête du Monde - 01 La grande croisade,Les Évangéliques à la Conquête du Monde - 01 La grande croisade,2023,,E,,L:\Les Évangéliques à la Conquête du Monde\Les évangéliques à la conquête du monde (1-3) - La grande croisade_Arte_2023_04_04_20_55.mp4,,,,,
Les Évangéliques à la Conquête du Monde - 02 Les évangéliques au pouvoir,Les Évangéliques à la Conquête du Monde - 02 Les évangéliques au pouvoir,2023,,E,,L:\Les Évangéliques à la Conquête du Monde\Les évangéliques à la conquête du monde (2-3) - Les évangéliques au pouvoir_Arte_2023_04_04_21_47.mp4,,,,,
Les Évangéliques à la Conquête du Monde - 03 Dieu au-dessus de tout ?,Les Évangéliques à la Conquête du Monde - 03 Dieu au-dessus de tout ?,2023,,E,,L:\Les Évangéliques à la Conquête du Monde\Les évangéliques à la conquête du monde (3-3) - Dieu au-dessus de tout_Arte_2023_04_04_22_39.mp4,,,,,
Mégantic,Mégantic,2023,Picture 5882,E,,,,,,,2023
Mégantic - 01 Gab et Pat,Mégantic - 01 Gab et Pat,2023,,E,,L:\Mégantic\Megantic.QC.S01E01.FRENCH.1080p.WEB.H264-COLL3CTiF.mkv,,,,,
Mégantic - 02 Corine,Mégantic - 02 Corine,2023,,E,,L:\Mégantic\Megantic.QC.S01E02.FRENCH.1080p.WEB.H264-COLL3CTiF.mkv,,,,,
Mégantic - 03 Les Lamarre,Mégantic - 03 Les Lamarre,2023,,E,,L:\Mégantic\Megantic.QC.S01E03.FRENCH.1080p.WEB.H264-COLL3CTiF.mkv,,,,,
Mégantic - 04 Bryan,Mégantic - 04 Bryan,2023,,E,,L:\Mégantic\Megantic.QC.S01E04.FRENCH.1080p.WEB.H264-COLL3CTiF.mkv,,,,,
Mégantic - 05 Annick,Mégantic - 05 Annick,2023,,E,,L:\Mégantic\Megantic.QC.S01E05.FRENCH.1080p.WEB.H264-COLL3CTiF.mkv,,,,,
Mégantic - 06 Marco et L'Abbé,Mégantic - 06 Marco et L'Abbé,2023,,E,,L:\Mégantic\Megantic.QC.S01E06.FRENCH.1080p.WEB.H264-COLL3CTiF.mkv,,,,,
Mégantic - 07 Tim Richards,Mégantic - 07 Tim Richards,2023,,E,,L:\Mégantic\Megantic.QC.S01E07.FRENCH.1080p.WEB.H264-COLL3CTiF.mkv,,,,,
Mégantic - 08 L'Histoire de Marie,Mégantic - 08 L'Histoire de Marie,2023,,E,,L:\Mégantic\Megantic.QC.S01E08.FiNAL.FRENCH.1080p.WEB.H264-COLL3CTiF.mkv,,,,,
The Last of Us,The Last of Us,2023,Picture 5924,E,E,,,,,,
The Last of Us - Saison 01,The Last of Us - Season 01,2023,,E,E,,,,,2023,
The Last of Us - Saison 01 - 01 Quand tu es perdu dans les ténèbres,The Last of Us - Season 01 - 01 When You're Lost in the Darkness,2023,,E,E,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E01.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E01.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,,,,
The Last of Us - Saison 01 - 02 Infecté,The Last of Us - Season 01 - 02 Infected,2023,,E,E,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E02.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E02.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,,,,
The Last of Us - Saison 01 - 03 Longtemps…,The Last of Us - Season 01 - 03 Long Long Time,2023,,E,E,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E03.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E03.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,,,,
"The Last of Us - Saison 01 - 04 S'il te plaît, tiens ma main",The Last of Us - Season 01 - 04 Please Hold My Hand,2023,,E,E,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E04.MULTi.1080p.WEBRip.x265-CLC.mkv,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E04.MULTi.1080p.WEBRip.x265-CLC.mkv,,,,
The Last of Us - Saison 01 - 05 Endurer et survivre,The Last of Us - Season 01 - 05 Endure and Survive,2023,,E,E,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E05.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E05.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,,,,
The Last of Us - Saison 01 - 06 Parenté,The Last of Us - Season 01 - 06 Kin,2023,,E,E,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E06.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E06.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,,,,
The Last of Us - Saison 01 - 07 Abandonner,The Last of Us - Season 01 - 07 Left Behind,2023,,E,E,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E07.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E07.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,,,,
The Last of Us - Saison 01 - 08 Quand on est dans le besoin,The Last of Us - Season 01 - 08 When We Are In Need,2023,,E,E,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E08.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E08.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,,,,
The Last of Us - Saison 01 - 09 Cherchez la lumière,The Last of Us - Season 01 - 09 Look for the Light,2023,,E,E,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E09.Final.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,L:\The Last of Us - Saison 01\The.Last.of.Us.S01E09.Final.MULTi.1080p.WEBRip.6CH.x265-CLC.mkv,,,,
1899,1899,2022,Picture 5764,E,E,,,,,,2022
1899 - Saison 01,1899 - Season 01,2022,,E,E,,,,,2022,
1899 - Saison 01 - 01 Le bateau,1899 - Season 01 - 01 The Ship,2022,,E,E,K:\1899 - Saison 01\1899 S01E01 - Le bateau.mkv,K:\1899 - Saison 01\1899 S01E01 - Le bateau.mkv,,,,
1899 - Saison 01 - 02 Le garçon,1899 - Season 01 - 02 The Boy,2022,,E,E,K:\1899 - Saison 01\1899 S01E02 - Le garçon.mkv,K:\1899 - Saison 01\1899 S01E02 - Le garçon.mkv,,,,
1899 - Saison 01 - 01 Le brouillard,1899 - Season 01 - 03 The Fog,2022,,E,E,K:\1899 - Saison 01\1899 S01E03 - Le brouillard.mkv,K:\1899 - Saison 01\1899 S01E03 - Le brouillard.mkv,,,,
1899 - Saison 01 - 01 L'affrontement,1899 - Season 01 - 04 The Fight,2022,,E,E,K:\1899 - Saison 01\1899 S01E04 - L'affrontement.mkv,K:\1899 - Saison 01\1899 S01E04 - L'affrontement.mkv,,,,
1899 - Saison 01 - 01 L'appel,1899 - Season 01 - 05 The Calling,2022,,E,E,K:\1899 - Saison 01\1899 S01E05 - L'appel.mkv,K:\1899 - Saison 01\1899 S01E05 - L'appel.mkv,,,,
1899 - Saison 01 - 01 La pyramide,1899 - Season 01 - 06 The Pyramid,2022,,E,E,K:\1899 - Saison 01\1899 S01E06 - La pyramide.mkv,K:\1899 - Saison 01\1899 S01E06 - La pyramide.mkv,,,,
1899 - Saison 01 - 01 La tempête,1899 - Season 01 - 07 The Storm,2022,,E,E,K:\1899 - Saison 01\1899 S01E07 - La tempête.mkv,K:\1899 - Saison 01\1899 S01E07 - La tempête.mkv,,,,
1899 - Saison 01 - 01 La clé,1899 - Season 01 - 08 The Key,2022,,E,E,K:\1899 - Saison 01\1899 S01E08 - La clé.mkv,K:\1899 - Saison 01\1899 S01E08 - La clé.mkv,,,,
All of Us Are Dead,All of Us Are Dead,2022,Picture 5371,D,D,,,,,,
All of Us Are Dead - Saison 01,All of Us Are Dead - Season 01,2022,,D,D,,,,,2022,
All of Us Are Dead - Saison 01 - Épisode 01,All of Us Are Dead - Season 01 - Episode 01,2022,,D,D,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E01.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E01.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,,,,
All of Us Are Dead - Saison 01 - Épisode 02,All of Us Are Dead - Season 01 - Episode 02,2022,,D,D,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E02.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E02.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,,,,
