Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Act,Anim,Aven,Bio,Bonus,Com,Crime,Doc,Drame,Fant,Guer,Hist,Hor,Mus,Myst,Rom,Sc-Fi,Série,Spec,Sport,Thril,West,Note,Nombre de Voteurs,Durée,Producteur,En Vedette,Audio Français,Audio Anglais,Traité,Double,Dernier Épisode Visionné,3D,Année(s) saison,Dernière saison,Produit / Créé par,Adresse Résumé,Nouveau,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Source,Y,Film Étranger,Mini Série,Z,A,B,Catastrophe,Version Originale,C,Bestiole,Tous,Vue,Pas Vue,Adresse Séries,Coup de Coeur,Série En Cours,Série Complété,Espion,Antique,Politique,Procès,Super-Héros,Tueur en Série,Vampire,Zombie,Terroriste,Sorcellerie,Asiatique,Érotique,Nouveauté,D,Scientifique,Archéologie,Mon Vote,Commentaires Jules,Société,Religion,Format,Commentaires Gérald,QTP,E,Nouv Com Jules,Nouv Com Gérald,Extraterrestre,Sélection du Jour
65 - La Terre d'Avant,65,2023,Picture 5988,E,E,,,X,,,,,,X,,,,,,,,X,,,,,,5.5,30000,93,"​Scott Beck, ​Bryan Woods","​Adam Driver, ​Ariana Greenblatt, ​Chloe Coleman",E:\65 - La Terre d'Avant\65.mkv,E:\65 - La Terre d'Avant\65.mkv,X,,,,,,,10404,,,,,,,,,,,,,,,,,L2,,,,,,,,Anglais,,X,X,X,,,,,,,,,,,,,,,,,,,,,,J,Décevant. Davantage un drame entre un homme et une petite fille qu'un thriller avec des bestioles. Action juste les 15 dernières minutes.,,,,,,X,,,,
80 for Brady,80 for Brady,2023,Picture 5940,E,E,,,,,,X,,,X,,,,,,,,,,,X,,,5.8,3900,96,​Kyle Marvin,"​Lily Tomlin, ​Jane Fonda, ​Rita Moreno",L:\80 for Brady\80.For.Brady.mkv,L:\80 for Brady\80.For.Brady.mkv,X,,,,,,,10355,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Algorithmes - Vers un Monde Manipulé,Algorithmes - Vers un Monde Manipulé,2023,Picture 5986,E,,,,,,,,,X,,,,,,,,,,,,,,,7.0,2,95,​Dorothe Dörholt,​Dorothe Dörholt,K:\Algorithmes - Vers un Monde Manipulé\Algorithmes - Vers un monde manipulé.mp4,,X,,,,,,,10402,,,,,,,,,,,,,,,,,Sel,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,
Attentat de Boston - Le Marathon et la Traque,American Manhunt - The Boston Marathon Bombing,2023,Picture 6001,E,E,,,,,,,X,X,,,,,,,,,,,,,,,7.6,1400,56,Floyd Russ ,"​Phillip Martin, ​Rick Deslauriers, ​Youssef Eddafali",,,X,,,,,2023,P,10377,,,,,,,,,,,,,,,,,Sel,,,X,,,,,Anglais,,,X,,X,2,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,
L'Étrangleur de Boston,Boston Strangler,2023,Picture 5948,E,E,,,,X,,,X,,X,,,,,,,,,,,,,,6.5,11000,112,​Matt Ruskin,"​Keira Knightley, ​Carrie Coon, ​Chris Cooper",E:\L'Étrangleur de Boston\Boston.Strangler.mkv,E:\L'Étrangleur de Boston\Boston.Strangler.mkv,X,,,,,,,10363,,,,,,,,,,,,,,,,,L2,,,,,,,,Anglais,,,X,X,,,,,,,,,,,X,,,,,,,,,,,J,Très bon film sur le journalisme d'enquête de Loretta McLaughin et Jean Cole.,,,,,,X,,,,
Champions,Champions,2023,Picture 5964,E,E,,,,,,X,,,X,,,,,,,,,,,X,,,6.7,7400,124,​Bobby Farrelly,"​Woody Harrelson, ​Kaitlin Olson, ​Matt Cook",L:\Champions\Champions.mkv,L:\Champions\Champions.mkv,X,,,,,,,10380,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Le Pari de Chang,Chang Can Dunk,2023,Picture 5944,E,E,,,,,,,,,X,,,,,,,,,,,X,,,6.4,776,109,​Jingyi Shao,"​Bloom Li, ​Ben Wang, ​Zoe Renee",L:\Le Pari de Chang\chang.can.dunk.mkv,L:\Le Pari de Chang\chang.can.dunk.mkv,X,,,,,,,10359,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Crazy Bear,Cocaine Bear,2023,Picture 5947,E,E,,,,,,X,,,,,,,,,,,,,,,,,6.0,41000,96,​Elizabeth Banks,"​Keri Russell, ​Alden Ehrenreich, ​O'Shea Jackson Jr.",K:\Crazy Bear\Cocaine.Bear.mkv,K:\Crazy Bear\Cocaine.Bear.mkv,X,,,,,,,10362,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
"Corée du Nord, la Dynastie Nucléaire","Corée du Nord, la Dynastie Nucléaire",2023,Picture 5936,E,,,,,,,,,X,,,,,,,,,,,,,,,7.0,2,71,​Romain Icard,​Romain Icard,"L:\Corée du Nord, la Dynastie Nucléaire\Coree.Du.Nord.La.Dynastie.Nucleaire.mkv",,X,,,,,,,10351,,,,,,,,,,,,,,,,,L3,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,J,Excellent documentaire. Très instructif.,X,,,,,X,,,,
Donjons & Dragons - L'Honneur des Voleurs,Dungeons & Dragons - Honor Among Thieves,2023,Picture 6027,E,E,X,,X,,,X,,,,X,,,,,,,,,,,,,7.4,77000,134,"​John Francis Daley, ​Jonathan Goldstein","​Chris Pine, ​Michelle Rodriguez, ​Regé-Jean Page",K:\Donjons & Dragons - L'Honneur des Voleurs\Donjons & Dragons - L’Honneur des voleurs.mkv,K:\Donjons & Dragons - L'Honneur des Voleurs\Donjons & Dragons - L’Honneur des voleurs.mkv,O,,,,,,,10442,,,,,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,J,Très bon film. Plusieurs scènes très drôles. Excellents trucages.,,,,,,X,,,,
